@relation 'data0910-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Remove-R18'

@attribute games numeric
@attribute starts numeric
@attribute min numeric
@attribute fgm numeric
@attribute fgp numeric
@attribute 3pm numeric
@attribute 3pp numeric
@attribute ftm numeric
@attribute ftp numeric
@attribute off numeric
@attribute def numeric
@attribute ast numeric
@attribute stl numeric
@attribute to numeric
@attribute blk numeric
@attribute pf numeric
@attribute dq numeric
@attribute tf numeric
@attribute PS {SG,C,PF,PG,SF,NA}

@data
54,3,22.61,3.59,0.46,0,0,2.22,0.69,1.5,4.7,1.04,1.17,1.72,1.57,2.39,0.04,0.07,PF
75,58,31.4,4.93,0.47,0.01,0.1,2.64,0.71,2.99,5.51,1.65,0.55,1.85,0.99,3.72,0.09,0.03,PF
75,46,27.71,4.27,0.47,0.15,0.35,2.04,0.73,1.55,2.37,1.2,0.6,1.37,0.47,2.75,0.09,0.01,SF
73,17,25.66,5.45,0.45,1.6,0.37,1.97,0.81,0.99,1.9,1.55,0.79,1.04,0.15,1.74,0,0.01,SG
38,1,15.5,1.37,0.37,0.18,0.18,0.58,0.81,0.29,1.45,2.84,0.84,1.66,0.13,1.76,0,0,PG
46,29,31.09,4.2,0.43,1.09,0.33,2.24,0.77,1.83,5.13,1.89,0.7,1,0.72,2.78,0.02,0,PF
15,0,6.33,1.13,0.44,0.07,0.14,1.07,0.76,0.4,0.27,0.27,0,0.33,0,0.4,0,0,SF
42,20,20.74,2.02,0.58,0,0,0.88,0.47,1.29,3.26,2.14,0.55,1.17,1.29,2.33,0.02,0.05,C
74,69,30.68,3.73,0.41,1.46,0.37,2.36,0.77,0.57,4.07,4.11,0.74,1.69,0.43,2.97,0.04,0.04,SF
69,2,13.71,1.32,0.38,0.38,0.29,0.61,0.74,0.74,2.03,0.84,0.49,0.61,0.09,1.2,0,0,SF
79,41,31.32,5.25,0.49,0.95,0.38,1.49,0.84,0.48,2.28,4.71,1.16,1.72,0.13,2.1,0,0,PG
13,0,7.38,1.08,0.47,0.23,0.25,0.69,0.82,0,0.23,0.92,0.08,0.46,0,0.46,0,0,PG
76,7,28.46,3.51,0.57,0.01,0.2,1.53,0.66,2.49,5.13,1.14,0.93,0.88,0.88,2.93,0.03,0.08,PF
78,16,23.68,4.65,0.44,1.27,0.35,1.36,0.82,1.09,3.59,0.68,0.62,0.95,0.71,2.86,0.03,0.01,PF
67,1,8.61,0.99,0.4,0.37,0.31,0.42,0.85,0.37,0.81,0.61,0.3,0.25,0.06,1,0,0.01,SG
77,77,36.27,9.34,0.48,0.95,0.3,6.94,0.76,1.38,3.45,6.51,1.83,3.27,1.06,2.35,0,0.12,SG
35,13,21.91,3.43,0.52,1.43,0.43,1.11,0.8,0.43,2.09,1.14,0.66,0.8,0.09,2.37,0.03,0.06,PF
69,67,28.58,2.29,0.54,0,0,0.94,0.41,3.55,5.1,1.52,1.25,0.93,1.22,1.9,0,0.06,C
76,76,41.03,6,0.48,0.68,0.37,5.55,0.78,1.97,8.05,2.12,1.54,2.34,1.11,2.55,0.01,0.08,SF
79,13,22.58,3.37,0.41,1.04,0.28,1.22,0.77,0.53,3.59,1.01,1.01,0.8,0.89,2.81,0.03,0.22,C
29,0,9.34,1.03,0.36,0.24,0.41,0.07,0.5,0.41,0.9,1.38,0.34,0.41,0.03,0.66,0,0,SF
76,6,20.46,3.49,0.48,0.01,0.14,2.66,0.74,1.67,2.46,0.68,0.32,1.05,0.24,1.66,0,0.04,PF
65,15,27.48,3.8,0.47,0.69,0.31,1.97,0.77,0.43,2.17,2.77,1.58,1.06,0.12,1.91,0.03,0.02,PG
79,52,29.34,2.82,0.43,0.67,0.29,1.52,0.71,0.68,2.37,5.05,1.32,2.22,0.2,2.29,0,0.01,PG
12,0,12.08,1,0.36,0.58,0.37,0.42,0.83,0.08,1.42,0.92,0.5,0.33,0.5,1.08,0,0,SG
82,49,24.45,3.16,0.41,1.51,0.37,1.54,0.81,0.57,2.7,0.76,0.55,0.73,0.49,1.87,0.01,0,SG
69,19,19.81,3.42,0.52,0.03,0.13,0.64,0.69,0.61,2.17,1.46,0.57,0.94,0.36,1.83,0.01,0.01,SG
81,81,36.4,7.64,0.5,0.09,0.26,3.65,0.87,2.02,5.44,2.95,0.94,2.14,0.74,2.88,0,0.04,PF
60,3,25.02,3.23,0.44,0.42,0.32,1.92,0.81,0.48,2.33,3.27,0.92,1.5,0.47,1.43,0,0.1,SG
39,1,3.9,0.31,0.57,0,0,0.15,0.6,0.21,0.49,0.23,0.21,0.18,0,0.62,0,0,SF
82,82,34.33,5.91,0.42,0.28,0.22,4.01,0.78,1.74,3.15,7.95,1.33,3.27,0.41,2.49,0.02,0.06,PG
12,0,8.33,2.08,0.61,0,0,0.75,0.9,0.83,1.08,0.33,0.42,0.25,0.25,1,0,0,PF
34,10,12.94,1.85,0.53,0,0,0.76,0.5,1.29,2.15,0.38,0.35,1.12,0.35,1.88,0,0.03,PF
80,31,19.81,2.06,0.43,0.23,0.3,1.29,0.8,0.89,2.21,1.69,0.84,0.95,0.31,1.8,0,0.03,SG
4,0,14.75,1.5,0.5,0.5,0.67,0.5,0.5,0.25,0.75,1,0,1,0,1.25,0,0,PG
76,76,36.89,6.5,0.47,1.26,0.37,4.41,0.8,0.66,3.33,10.51,1.26,3.32,0.21,2.74,0.03,0.07,PG
82,18,20.78,2.3,0.44,1.02,0.38,0.38,0.76,0.09,1.44,3.63,0.65,1.06,0.04,0.79,0,0.05,PG
54,6,13.83,1.5,0.39,0.56,0.32,0.59,0.71,0.3,1.24,0.63,0.22,0.33,0.09,1.35,0,0,SF
64,38,29.83,4.97,0.47,1.09,0.34,3,0.82,0.39,2.53,4.19,1.25,1.67,0.23,1.72,0.02,0,PG
62,1,14.06,1.68,0.38,0.39,0.3,0.6,0.67,0.21,1.29,2.6,0.52,1.19,0.02,0.69,0,0,PG
81,81,30.46,3.73,0.45,0.49,0.3,2.17,0.82,1.31,3.83,1.14,0.8,0.89,0.57,1.98,0,0.01,SF
69,68,34.17,5.48,0.44,2.3,0.43,2.57,0.89,0.41,2.61,5.33,1.01,2.51,0.3,2.46,0.01,0.07,PG
24,10,32.46,5.83,0.49,1.38,0.36,2.17,0.84,0.75,3.83,2.75,0.92,1.21,0.25,2.04,0,0.04,SF
20,0,11.35,1.05,0.43,0,0,0.5,0.53,1.05,1.25,0.05,0.4,1,0.95,2.05,0.05,0,PF
54,0,11.06,1.17,0.52,0,0,1.39,0.77,0.87,1.81,0.39,0.24,0.56,0.39,1.57,0,0.02,PF
78,9,22.55,3.35,0.4,0.4,0.31,1.32,0.72,0.59,3.87,2.86,0.55,1.59,0.13,1.62,0,0,SG
67,10,20.75,2.42,0.41,0.87,0.34,0.79,0.69,0.57,2.27,1.06,0.45,0.87,0.16,2.01,0,0.07,SF
72,1,20.82,2.69,0.46,0.85,0.39,0.85,0.88,0.69,2.57,1.26,0.74,0.74,0.44,1.31,0,0,SG
68,14,12.82,1.71,0.5,0.03,0.33,0.37,0.61,0.85,1.26,0.6,0.43,0.65,0.26,0.66,0,0,SF
74,23,19.27,3.15,0.42,0.93,0.41,1.41,0.8,0.27,1.11,0.65,0.36,0.76,0.11,1.99,0,0,SG
80,1,16.51,2.8,0.45,0.14,0.2,1.7,0.78,0.96,1.55,0.65,0.44,1.18,0.25,1.33,0,0.01,SF
67,45,31.99,5.7,0.47,0.72,0.35,1.7,0.69,1.94,3.3,1.45,1.21,1.88,0.22,1.99,0,0.01,SF
