@relation 'data0910-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Remove-R18'

@attribute games numeric
@attribute starts numeric
@attribute min numeric
@attribute fgm numeric
@attribute fgp numeric
@attribute 3pm numeric
@attribute 3pp numeric
@attribute ftm numeric
@attribute ftp numeric
@attribute off numeric
@attribute def numeric
@attribute ast numeric
@attribute stl numeric
@attribute to numeric
@attribute blk numeric
@attribute pf numeric
@attribute dq numeric
@attribute tf numeric
@attribute PS {SG,C,PF,PG,SF,NA}

@data
48,1,13.75,1.29,0.5,0,0,0.69,0.34,1.1,2.58,0.46,0.31,0.9,0.25,1.94,0.02,0.06,C
82,7,20.76,3.09,0.43,0.76,0.33,1.21,0.82,0.37,1.87,1.32,0.7,0.82,0.38,1.57,0,0.02,SG
73,73,38.82,9.81,0.46,1.36,0.33,6.01,0.81,1.07,4.29,5,1.55,3.18,0.27,2.56,0,0.19,SG
74,4,20.18,3.36,0.44,1.24,0.37,0.91,0.77,0.51,2.46,1.19,0.46,0.65,0.15,1.15,0,0,SF
74,74,37.55,6.08,0.43,0.57,0.29,3.57,0.84,1.41,4.82,2.11,1.57,2.16,0.32,2.61,0,0.03,SF
82,64,32.96,4.34,0.41,1.77,0.34,1.49,0.84,0.48,2.45,1.41,0.44,0.96,0.83,1.48,0,0.01,SG
65,65,30.42,6.03,0.57,0,0,2.97,0.74,2.72,5.6,1.05,0.54,1.77,1.45,2.97,0.03,0.05,C
63,20,26.41,3.76,0.44,0.19,0.22,2.25,0.8,0.38,1.87,4.49,0.87,1.83,0.11,2.27,0,0.03,PG
68,39,26.72,4.03,0.48,1,0.4,1.22,0.8,0.34,1.76,5.94,0.69,1.46,0.1,1.99,0.01,0.03,PG
74,74,31.24,3.22,0.48,0.03,0.29,1.05,0.64,3.36,8.39,2.51,1.27,1.23,1.97,2.18,0,0.04,C
29,0,9.24,0.48,0.39,0.1,0.33,0.59,0.94,0.24,0.76,0.83,0.31,0.24,0.1,1.93,0.03,0,PF
68,0,12.62,1.66,0.4,0.6,0.3,0.76,0.83,0.38,1.63,0.54,0.37,0.31,0.29,1.16,0,0,SF
71,1,11.17,1.24,0.4,0,0,0.46,0.62,0.75,1.37,0.46,0.39,0.34,0.13,1.51,0.01,0.01,SF
25,0,4.84,0.72,0.36,0.16,0.21,0.24,1,0.16,0.32,0.24,0.2,0.28,0,0.52,0,0,SG
54,7,15.91,1.41,0.42,0.31,0.27,0.2,0.85,0.31,1.33,2.96,0.72,1.07,0.24,1.33,0,0.02,PG
75,74,30.8,5.79,0.43,1.59,0.37,3.43,0.84,0.44,3.47,3.15,0.71,1.41,0.24,2.52,0,0.04,SG
77,31,25.09,3.9,0.45,0.97,0.37,1.52,0.67,0.97,3.56,1.26,0.7,1.27,0.23,1.62,0,0.04,SF
73,22,24.74,2.49,0.4,1.03,0.32,1.12,0.75,0.34,1.51,3.37,1.25,1.68,0.16,2.4,0.01,0,PG
51,27,22.82,2.14,0.57,0,0,2.25,0.73,2.24,4.04,0.31,0.33,1.78,1.12,2.71,0.02,0.06,C
65,64,35.69,6.34,0.48,0.62,0.27,1.98,0.81,1.43,3.92,2.12,0.71,1.66,0.75,2.83,0.05,0,SF
51,0,7.55,1.1,0.37,0.04,0.4,0.51,0.72,0.35,0.86,0.41,0.14,0.45,0.25,0.49,0,0,C
34,10,7.74,0.35,0.39,0,0,0.29,0.4,0.65,1.18,0.18,0.06,0.29,0.09,1.24,0,0,C
24,0,4.71,0.33,0.35,0,0,0,0,0.21,0.38,0.17,0.13,0.21,0.08,0.88,0,0,C
43,0,10.91,1.09,0.37,0.09,0.24,0.3,0.62,0.3,0.86,1.02,0.53,0.74,0.02,1.05,0,0,PG
76,37,27.7,4.95,0.48,0.61,0.4,1.95,0.85,0.54,1.99,5.68,1.03,2.66,0.05,1.21,0,0.01,PG
75,5,20.8,2.43,0.59,0.01,0.25,0.99,0.69,2.03,3.09,0.51,0.49,0.84,0.64,3.07,0.05,0.01,PF
80,80,32.06,4.61,0.44,1.03,0.39,1.74,0.74,0.38,2.01,5.31,1.36,2.13,0.15,2.23,0.05,0,PG
5,0,7.2,0.6,0.3,0,0,0,0,0,0.6,1.4,0,0.8,0,1,0,0,PG
14,0,3.21,0.5,0.3,0.14,0.22,0.36,0.71,0.07,0.57,0.07,0,0.43,0.14,0.36,0,0,PF
45,4,15.36,1.8,0.32,0.89,0.32,0.47,0.84,0.2,1.62,0.96,0.31,0.53,0.22,1.11,0,0,SG
79,0,31.13,6.28,0.45,2.06,0.38,3.42,0.86,0.43,2.11,3.01,0.76,1.73,0.15,1.67,0,0.03,SG
63,2,11.22,1.68,0.5,0,0,0.49,0.65,0.86,1.68,0.22,0.38,0.24,0.35,1.54,0,0,PF
7,0,9,1.14,0.38,0,0,1.43,0.59,0.57,1.29,0,0,1.86,0.14,1.86,0,0.14,C
80,77,36.19,6.6,0.46,2.08,0.44,2.21,0.89,0.6,3.84,5.9,1.9,3.05,0.24,3.15,0.05,0,PG
82,79,25.93,3.48,0.54,0,0,1.18,0.73,2.91,6.63,0.78,0.51,1.5,1.84,3.07,0.06,0.06,C
55,47,23.25,2.42,0.62,0.02,0.33,1.11,0.6,2.33,4.95,0.56,0.27,1.11,1.4,2.78,0,0.04,C
51,4,18.43,2.43,0.5,0.12,0.21,0.67,0.61,0.53,1.33,1.29,0.55,0.82,0.12,1.78,0,0,SG
75,73,33.63,5.49,0.41,1.09,0.28,3.19,0.82,0.69,2.87,7.97,1.68,2.81,0.57,2.8,0,0.12,PG
54,1,17.2,2.26,0.44,0,0,1.78,0.7,1.87,1.93,0.65,0.39,0.98,0.26,2.44,0.04,0.06,PF
2,0,4,1,0.5,0,0,0.5,0.5,0,0,1.5,0,0,0.5,0,0,0,C
